episode,steps,episode_return,epsilon,avg_loss,avg_q
0,376,2119.5,0.02,34.33385126810045,1.1266589750154414
1,376,2133.0,0.02,46.26384920769549,12.72721695139053
2,376,2235.0,0.02,41.540934613410464,13.332572239510556
3,376,2284.5,0.02,43.65848591733486,13.596487202542894
4,376,2090.5,0.02,42.659578363946146,13.610219694198445
5,376,2509.0,0.02,43.349828874811216,13.94822985821582
6,376,2211.5,0.02,55.51978137138042,23.36371582873324
7,376,2574.0,0.02,50.20392613715314,23.638185820680985
8,376,1890.5,0.02,48.65415810016876,23.612833469472033
9,376,2290.5,0.02,47.71454367231816,23.58802307920253
10,376,2846.0,0.02,44.48153915811092,23.730124382262535
11,376,1981.5,0.02,61.61314533111897,30.70450901477895
12,376,2387.0,0.02,54.255187815808235,30.789925093346454
13,376,2356.0,0.02,51.20587045081118,30.817222245196078
14,376,2454.0,0.02,51.71171671278933,31.00575815870407
15,376,2479.5,0.02,50.75690152797293,31.171337553795347
16,376,2070.0,0.02,67.24878527255768,40.381927135142874
17,376,2172.0,0.02,61.168624654729314,40.42449151201451
18,376,2826.5,0.02,59.33569630156172,40.42056501672623
19,376,2236.5,0.02,56.88492959103686,40.588569438203855
20,376,2385.5,0.02,58.15015226222099,40.59170382580859
21,376,2411.5,0.02,76.86084641294276,48.279895853489
22,376,2310.0,0.02,76.0306571696667,48.70302023786179
23,376,2308.0,0.02,71.64400715523578,48.69945154798792
24,376,2231.5,0.02,70.70774425344264,48.42379249410426
25,376,1880.0,0.02,68.7678525955119,48.509303813285015
26,376,2475.0,0.02,88.5032317181851,53.84105927893456
27,376,2505.0,0.02,82.19816310355004,53.90720241627795
28,376,2441.5,0.02,79.26206260539115,54.40257144481578
29,376,2540.0,0.02,77.46547202353781,54.349145879136756
30,376,2812.5,0.02,73.3843996271174,54.18615408146635
31,376,2735.5,0.02,104.55595948848318,60.74852061778941
32,376,1855.0,0.02,98.97584630073385,60.36372752899819
33,376,2913.5,0.02,94.7088107606198,60.86605779160845
34,376,1692.0,0.02,93.28919155039686,60.927530856842694
35,376,2489.0,0.02,86.95047467312914,60.63684173340493
36,376,2592.5,0.02,107.70859397725856,67.29654388224824
37,376,2584.5,0.02,96.60448795683841,67.4139755025823
38,376,2659.5,0.02,97.71633350088241,67.55153549478409
39,376,2477.0,0.02,94.45222288496952,67.83136235906723
40,376,2596.5,0.02,94.77980046576641,67.37536253827683
41,376,2562.5,0.02,128.7271100206578,77.14835136494737
42,376,2167.5,0.02,113.4289887712357,77.48441397890132
43,376,2540.5,0.02,110.83086479471085,77.28217849325627
44,376,2542.5,0.02,107.70038450525162,77.3201644166987
45,376,1930.5,0.02,109.21255819340969,77.26312308615826
46,376,3018.5,0.02,159.11281904261162,85.68186770094202
47,376,2319.0,0.02,134.84030153396282,85.65968909162156
48,376,2457.5,0.02,135.58776168620332,86.02339925157263
49,376,2535.5,0.02,137.53048119646436,85.54128959331106
